profession,rarity,group,depends on,gender specific,definition,percent,aka,work location,work location name
link boy,4,service,,,carried a torch for pedestrians in dark streets,0.1%,,own residence,
locksmith,4,service,,,,0.1%,,shop/own residence,locksmith's shop
lutenist,4,entertainment,,,,0.1%,,around town,
magistrate,4,government,,,,0.1%,,shop,magistrates office
marshal,4,government,,,,0.1%,,own residence,
master builder,4,construction,,,,0.1%,,around town,
master of hounds,4,service,,,,0.1%,"dog trainer, fewterer",own residence,manor
mercenary,4,military,,,,0.1%,,outside of town,
mercer,4,commerce,,,"dealer in textile fabrics, esp. silks, velvets, and other fine materials",0.1%,,shop/own residence,textile store
milliner,4,craftsman,haberdasher,,hat maker,0.1%,"hatmaker, hatter",shop/own residence,hat shop
mirrorer,4,craftsman,,,,0.1%,,shop/own residence,mirror shop
nailmaker,4,craftsman,blacksmith,,,0.1%,,shop/own residence,nail shop
navigator,4,transportation,,,,0.1%,,outside of town,ship
noble,4,government,,,,0.1%,,own residence,
nurse,4,service,,,,0.1%,,shop/own residence,clinic
oilmaker,4,craftsman,,,,0.1%,,shop/own residence,oil shop
painter,4,artisan,,,,0.1%,,own residence,painter's studio
panter,4,service,,,keeper of the pantry,0.1%,,own residence,manor
papermaker,4,craftsman,,,,0.1%,parchmenter,shop/own residence,paper shop
parker,4,government,,,caretaker of a park,0.1%,,around town,park
pavyler,4,entertainment,,,one who put up pavilions or tents,0.1%,,outside of town,
pie seller,4,food service,baker,,,0.1%,,shop/own residence,pie shop
pilgrim,4,religion,,,,0.1%,palmer,outside of town,
pinmaker,4,craftsman,,,,0.1%,nedeller,shop/own residence,pin shop
piper,4,entertainment,,,,0.1%,,around town,
plumber,4,craftsman,,,,0.1%,,own residence,plumber's shop
poacher,4,crime,,,,0.1%,,outside of town,
poet,4,artisan,,,,0.1%,skald,own residence,
porter,4,service,,,,0.1%,,own residence,manor
pot mender,4,craftsman,potter,,,0.1%,,shop/own residence,pot mender's shop
potboy,4,service,,,cleans out chamber pots,0.1%,"privycleaner, gong farmer, nightman",own residence,manor
printer,4,craftsman,,,,0.1%,,shop/own residence,printer's shop
professor,4,education,,,,0.1%,,shop,college
raker,4,service,,,street sanitation worker,0.1%,,around town,
rat catcher,4,service,,,,0.1%,,around town,
reeve,4,government,,,bailiff or steward of a manor,0.1%,,own residence,manor
restaurateur,4,food service,cook,,,0.1%,,shop/own residence,resturant
riverboat pilot,4,transportation,,,,0.1%,,outside of town,river
ropemaker,4,craftsman,,,,0.1%,roper,shop/own residence,rope shop
sawyer,4,craftsman,woodcutter,,saws timbers to boards,0.1%,,shop/own residence,timbermill
scout,4,military,,,,0.1%,,outside of town,
scullion,4,service,servant,,the bottom-rung servant in a household,0.1%,,own residence,manor
seaweed harvester,4,agriculture,,,,0.1%,,outside of town,"sea, ocean"
sergeant,4,military,,,,0.1%,,outside of town,
sexton,4,religion,,,"a person who looks after a church and churchyard, sometimes acting as bell-ringer and formerly as a gravedigger",0.1%,,shop,church
sheepshearer,4,agriculture,shepherd,,,0.1%,,outside of town,pasture
sheriff,4,government,,,,0.1%,,shop,sheriff's office
shill,4,crime,,,"an accomplice of a hawker, gambler, or swindler who acts as an enthusiastic customer to entice or encourage others.",0.1%,,around town,
shrimper,4,agriculture,,,,0.1%,,outside of town,"sea, ocean"
siege engineer,4,military,,,,0.1%,,outside of town,
silk-maker,4,craftsman,,,,0.1%,,shop/own residence,silk shop
silk-mercer,4,commerce,,,deals in silk,0.1%,,shop/own residence,silk shop
singer,4,entertainment,,,,0.1%,,around town,
smelter,4,craftsman,,,,0.1%,,shop/own residence,smelter
spearman,4,military,,,,0.1%,,outside of town,
spinner,4,craftsman,,,spins yarn,0.1%,,shop/own residence,spinner's shop
spy,4,military,,,,0.1%,,outside of town,
squire,4,government,,,,0.1%,,around town,
stabler,4,commerce,,,a person who runs a horse stable,0.1%,,shop/own residence,stable
steward,4,service,,,person who manages or looks after (another's property),0.1%,,other residence,manor
stillroom maid,4,service,,,"is a female servant who works in the still room, the functional room in a great house in which drinks and jams are made",0.1%,,own residence,manor
surgeon,4,service,physician,,,0.1%,chirurgeon,around town,
taverner,4,food service,,,runs a tavern,0.1%,,shop/own residence,tavern
thimblerigger,4,crime,"thief, pickpocket",,a person who does shell game,0.1%,,around town,
threadmaker,4,craftsman,"tailor, weaver",,,0.1%,,shop/own residence,threadmaker's shop
thresher,4,food service,,,,0.1%,,own residence,
tile maker,4,craftsman,,,,0.1%,,shop/own residence,tile maker's shop
tillerman,4,transportation,,,,0.1%,,outside of town,ship
tinker,4,craftsman,,,,0.1%,,around town,
tinsmith,4,craftsman,,,,0.1%,,shop/own residence,tinsmith's shop
toll keeper,4,government,,,,0.1%,,around town,tollbridge
treasurer,4,commerce,,,,0.1%,,other residence,treasury
troubadour,4,entertainment,,,,0.1%,,outside of town,
tumbler,4,entertainment,,,,0.1%,,around town,
tutor,4,education,,,,0.1%,teacher,other residence,manor
userer,4,crime,banker,,lends money at unreasonably high rates of interest,0.1%,,shop/own residence,userer's shop
valet,4,service,,male,a male servant who attended a nobleman or gentleman,0.1%,,own residence,manor
vintner,4,craftsman,farmer,,makes wine,0.1%,,shop/own residence,winery
wetnurse,4,service,,,,0.1%,,own residence,manor
wheelwright,4,craftsman,cartwright,,,0.1%,,shop/own residence,wheelwright's shop
wine seller,4,commerce,taverner,,,0.1%,,shop/own residence,wine shop
woodmonger,4,commerce,,,,0.1%,woodseller,shop,woodyard
woodturner,4,craftsman,wood carver,,,0.1%,,shop/own residence,woodturner's shop
woolcomber,4,craftsman,,,,0.1%,carder,shop/own residence,woolcomber's shop
woolman,4,commerce,woolcomber,,sells wool,0.1%,,shop/own residence,wool shop
writer,4,artisan,,,,0.1%,,own residence,
accoucheur,5,service,midwife,male,male midwife,0.01%,,around town,
accoutrement maker,5,craftsman,,,,0.01%,,shop/own residence,accoutrement maker's shop
actor,5,entertainment,,,,0.01%,,shop,theater
actuary,5,commerce,,,,0.01%,,shop/own residence,actuary's shop
admiral,5,military,,,,0.01%,,outside of town,"sea, ocean"
ale-conner,5,government,,,,0.01%,,own residence,
balancemaker,5,craftsman,,,,0.01%,,shop/own residence,balance shop
barker,5,entertainment,,,"stands in front of theater, harrasses passersby",0.01%,,shop,theater
barrister,5,government,,,"a lawyer entitled to practice as an advocate, particularly in the higher courts",0.01%,,shop,court
bear-ward,5,entertainment,,,"keeps bears, participates in bear baiting",0.01%,"bear-baiter, bearlead",outside of town,
bellfounder,5,craftsman,,,makes bells,0.01%,"bellmaker, campaner",shop/own residence,bellfounder's shop
besom maker,5,craftsman,,,makes brooms,0.01%,,shop/own residence,broom shop
billier,5,craftsman,,,makes axes,0.01%,,shop/own residence,axe shop
blockcutter,5,craftsman,,,for block printing,0.01%,,shop/own residence,blockcutter's shop
bonecarver,5,artisan,,,,0.01%,ivorist,own residence,
bookbinder,5,craftsman,,,,0.01%,,shop/own residence,bookbinder's shop
bookprinter,5,craftsman,bookprinter,,,0.01%,,shop/own residence,bookprinter's shop
boothman,5,commerce,,,corn merchant,0.01%,,shop/own residence,boothman's shop
bottelier,5,craftsman,,,makes bottles,0.01%,,shop/own residence,bottleshop
brazier (occupation),5,craftsman,,,works with brass,0.01%,,shop/own residence,brazier (occupation)'s shop
brushbinder,5,craftsman,,,,0.01%,,shop/own residence,brushbinder's shop
buckle maker,5,craftsman,,,,0.01%,,shop/own residence,buckle ship
butner,5,craftsman,,,makes buttons,0.01%,,shop/own residence,button shop
canvasser,5,craftsman,,,,0.01%,,shop/own residence,canvas shop
captain of the guard,5,government,,,,0.01%,,shop,guardhouse
cardinal,5,religion,,,,0.01%,,shop,church
cardmaker,5,craftsman,woolcomber,,makes cards for combing wool,0.01%,combmaker,shop/own residence,cardmaker's shop
cartographer,5,government,,,,0.01%,,shop/own residence,cartographer's shop
catchpole,5,government,,,"A sheriff’s officer, usually one who arrests debtors",0.01%,catchpoller,around town,
cellarer,5,religion,abbot,,the person in a monastery who is responsible for the provisioning of food and drink,0.01%,,own residence,monastery
chainmaker,5,craftsman,,,,0.01%,,shop/own residence,chain shop
chancellor,5,government,,,a senior state or legal official.,0.01%,,shop/own residence,chancellor's shop
chantry priest,5,religion,,,sings,0.01%,,shop,church
chicken butcher,5,food service,,,,0.01%,poulter,shop/own residence,butcher shop
cofferer,5,service,,,"oversees coffers, payroll, etc for a large house",0.01%,,other residence,manor
colporteur,5,commerce,,,"peddler of books, newspapers, and similar literature",0.01%,bookseller,shop/own residence,colporteur's shop
compasssmith,5,craftsman,,,,0.01%,,shop/own residence,compass shop
composer,5,artisan,,,,0.01%,,own residence,
confectioner,5,food service,baker,,,0.01%,,shop/own residence,confectioner's shop
constable,5,government,,,,0.01%,,around town,
coppersmith,5,craftsman,,,,0.01%,,shop/own residence,coppersmith's shop
copyist,5,service,,,makes copies of documents,0.01%,illuminator,own residence,
corsetier,5,craftsman,,,makes corsets,0.01%,,shop/own residence,corset shop
courtier,5,government,,, person who is often in attendance at the court of a king or other royal personage,0.01%,,shop,court
dancer,5,entertainment,,,,0.01%,,around town,
dapifer,5,service,,,a servant that brings the meat to the table at a meal.,0.01%,,own residence,manor
dean,5,education,,,,0.01%,,shop,school
delver,5,construction,,,ditch digger,0.01%,ditcher,around town,ditch
diamantaire,5,craftsman,,,cuts diamonds,0.01%,,shop/own residence,jewelry shop
diplomat,5,government,,,,0.01%,,outside of town,
disher,5,craftsman,,,a person who made bowls and dishes,0.01%,dish thrower,shop/own residence,dish shop
dry stone waller,5,craftsman,,,made walls without mortar,0.01%,,shop/own residence,dry stone waller's shop
drycooper,5,craftsman,,,made barrels that were not watertight,0.01%,,shop/own residence,drycooper's shop
drysalter,5,food service,,," one who dealt in salted or dried meats, pickles, sauces, chemical, and dyes",0.01%,,shop/own residence,drysalter's shop
embroiderer,5,craftsman,tailor,,,0.01%,,shop/own residence,embroiderer's shop
engraver,5,craftsman,,,,0.01%,,shop/own residence,engraver's shop
executioner,5,government,,,,0.01%,,shop,gallows
fabricshearer,5,craftsman,,,pleated fabric and trimmed nap for customers,0.01%,,shop/own residence,fabricshearer's shop
falconer,5,service,,,,0.01%,,shop/own residence,falconer's shop
feltmaker,5,craftsman,,,,0.01%,fewtrer,shop/own residence,feltmaker's shop
fruiterer,5,commerce,,,buys and sells fruit,0.01%,"FRUITESTERE, fruitier",shop/own residence,fruiterer's shop
gemcutter,5,craftsman,miner,,"cuts, carves, engraves gems",0.01%,lapidary,shop/own residence,gemcutter's shop
gilder,5,artisan,woodcarver,,someone whose occupation is to apply an overlay of gold or gilt,0.01%,,shop/own residence,gilder's shop
girdler,5,craftsman,,,makes girdles,0.01%,,shop/own residence,girdler's shop
glasspainter,5,artisan,,,,0.01%,,own residence,
glazier,5,construction,,,a person whose profession is fitting glass into windows and doors,0.01%,,around town,
glover,5,craftsman,,,makes gloves,0.01%,,shop/own residence,glove shop
goldbeater,5,craftsman,goldsmith,,a person who beats gold out into gold leaf,0.01%,,shop/own residence,goldbeater's shop
goldsmith,5,craftsman,,,,0.01%,redsmith,shop/own residence,goldsmith's shop
grinder,5,craftsman,,,"sharpens tools, etc",0.01%,,shop/own residence,grinder's shop
hacker,5,craftsman,,,hoe-maker,0.01%,,shop/own residence,hoe shop
harberdasher,5,commerce,,," sells small articles for sewing, such as buttons, ribbons, zips, and other notions",0.01%,,shop/own residence,harberdasher's shop
harness maker,5,craftsman,"tanner, blacksmith",,made harnesses for horses,0.01%,lorimer,shop/own residence,harness shop
harper,5,entertainment,,,,0.01%,,around town,
hayward,5,government,,,"an officer having charge of hedges and fences around a town common, especially to keep cattle from breaking through and to impound stray cattle",0.01%,,own residence,
hetheleder,5,commerce,,,sells heather for use as a fuel,0.01%,,shop/own residence,hetheleder's shop
hobbler,5,transportation,,,a soldier on horseback/ one who towed a boat with a rope along a river bank,0.01%,,outside of town,
horner,5,craftsman,,,"a worker in horn making spoons, combs, or musical horns",0.01%,,shop/own residence,horner's shop
instrument maker,5,craftsman,musician,,,0.01%,,shop/own residence,instrument shop
ironmonger,5,commerce,,,a person selling hardware such as tools and household implements,0.01%,,shop/own residence,ironmonger's shop
jailer,5,government,sheriff,,,0.01%,,shop,jail
jester,5,entertainment,,,,0.01%,,other residence,manor
jeweler,5,craftsman,,,,0.01%,,shop/own residence,jewelry store
jongleur,5,entertainment,,,an itinerant minstrel,0.01%,,outside of town,
juggler,5,entertainment,,,,0.01%,,around town,
knacker,5,service,,,"a person whose business is the disposal of dead or unwanted animals, esp. those whose flesh is not fit for human consumption.",0.01%,,around town,
knight,5,military,,,,0.01%,,around town,
lacemaker,5,craftsman,,,,0.01%,,shop/own residence,lacemaker's shop
lampwright,5,craftsman,,,,0.01%,lanternmaker,shop/own residence,lamp shop
latoner,5,craftsman,,,"works in latten, alloy of copper and zinc resembling brass, hammered into thin sheets and used to make monumental brasses and church ornaments",0.01%,,shop/own residence,latoner's shop
leadworker,5,craftsman,,,,0.01%,,shop/own residence,leadworker's shop
librarian,5,education,,,,0.01%,,shop,library
liner,5,government,,,an officer in charge of tracing property boundaries in the city,0.01%,,around town,
lord high steward,5,government,,,,0.01%,,shop/own residence,lord high steward's shop
luthier,5,craftsman,lutenist,,"makes and repairs lutes, and other stringed instruments",0.01%,,shop/own residence,luthier's shop
mailmaker,5,craftsman,,,makes chainmail,0.01%,,shop/own residence,mailmaker's shop
marleywoman,5,craftsman,,,"a maker of marli, a type of fabric (gauze used for embroidery)",0.01%,,shop/own residence,marleywoman's shop
master of the revels,5,service,,,,0.01%,,other residence,manor
mathematician,5,education,,,,0.01%,,shop,school
miniaturist,5,craftsman,,,http://en.wikipedia.org/wiki/Miniature_(illuminated_manuscript),0.01%,,shop/own residence,miniaturist's shop
minnesinger,5,entertainment,,,a German lyric poet and singer of the 12th–14th centuries who performed songs of courtly love,0.01%,,around town,
minter,5,government,,,,0.01%,"coiner, moneyer",shop,mint
mummer,5,entertainment,,,an actor in a traditional masked mime,0.01%,,shop,theater
naperer,5,service,,,responsible for the washing and storage of table linens,0.01%,,own residence,manor
napier,5,craftsman,,,sold or produced table linen,0.01%,,shop/own residence,linenshop
netmaker,5,craftsman,captain,,,0.01%,,shop/own residence,net shop
oil merchant,5,commerce,,,,0.01%,,shop/own residence,oil shop
old-clothes dealer,5,commerce,,,,0.01%,,shop/own residence,old-clothes dealer's shop
ostiary,5,religion,,,doorman for a church,0.01%,,shop,church
ostler,5,service,innkeeper,,a man employed to look after the horses of people staying at an inn,0.01%,hostler,shop,inn
oyster raker,5,agriculture,,,gathered oysters with a rake,0.01%,oysterer,outside of town,
pasteler,5,food service,,,made pastries,0.01%,pastrycook,shop/own residence,pasteler's shop
pattenmaker,5,craftsman,,,,0.01%,,shop/own residence,pattenmaker's shop
pavior,5,construction,,,lays pavement,0.01%,paver,around town,
perfumer,5,craftsman,,,,0.01%,,shop/own residence,perfume shop
pewterer,5,craftsman,,,,0.01%,,shop/own residence,pewterer's shop
philosopher,5,education,,,,0.01%,,own residence,
pinder,5,service,,,a person whose duty was to catch and confine stray animals,0.01%,,around town,
pissprophet,5,service,,,"doctors who would diagnose disease from a patient's urine, specifically from the sight, smell, and taste of the urine",0.01%,,own residence,
plasterer,5,construction,,,,0.01%,,around town,
plattner,5,craftsman,,,beat out sheets of metal,0.01%,,shop/own residence,plattner's shop
player,5,entertainment,,,,0.01%,,shop,theater
playwright,5,artisan,,,,0.01%,,own residence,
plumer,5,agriculture,,,a person that hunts birds for their plumes,0.01%,,outside of town,forest
pointer,5,construction,,,roofer,0.01%,"poynter, tiler, roofer, shingler",around town,
poleturner,5,craftsman,,,made pikes and spears,0.01%,,shop/own residence,poleturner's shop
prince,5,government,,male,,0.01%,princess,own residence,palace
procurator,5,commerce,,,legal agent or representative,0.01%,proctor,other residence,manor
purse maker,5,craftsman,,,,0.01%,purser,shop/own residence,purse maker's shop
pursuivant,5,military,,,"officer of arms, ranks below herald, similar duties",0.01%,,outside of town,
quack,5,commerce,,,sells snakeoil,0.01%,,around town,
quartermaster,5,military,,,manages inventory in military,0.01%,,outside of town,
quilter,5,craftsman,,,,0.01%,,shop/own residence,quilter's shop
ragpicker,5,service,,,who made a living by rummaging through refuse in the streets to collect material for salvage,0.01%,Chiffonnier,around town,
rectifier,5,craftsman,,,one who distilled alcohol,0.01%,distiller,shop/own residence,rectifier's shop
reedmaker,5,craftsman,,,a maker of flutes and other wind instruments,0.01%,,shop/own residence,reedmaker's shop
riveter,5,craftsman,,,,0.01%,,shop/own residence,rivet shop
